Account No,Organisation,City,Country,Region,Access,C40,Reporting year,Risks to city’s water supply,​Timescale,Magnitude,Risk description,Current population,Population year,City location,Country location
50555,City of Hamilton,Hamilton,Canada,North America,Public,,2017,Increased water stress or scarcity,Current,Serious,"5% of City of Hamilton residents rely on private wells that many times are not properly maintained. These wells have the potential to be greatly impacted by drought conditions. The first to be affected are the shallow aquifers that will experience limited recharge and increased demand. For the Greensville Rural Settlement Area we completed a detailed Water Budget as the assessment of the source revealed a high degree of stress within the subwatershed and shown that under drought conditions of (only) 2 years the shallow wells can experience a drop in water levels of 7m. This drop is considered significant as some of the residential wells do not have a great water column available or the well cannot be operated at very low water levels. 
Also an increase in extreme weather events is expected to increase flooding and soil erosion. This will result in degraded surface water quality due to the suspension of sediments, nutrients and pesticides.",550700,2015,"(43.250021, -79.866091)","(56.130366, -106.346771)"
50568,City of Saskatoon,Saskatoon,Canada,North America,Public,,2017,Increased water stress or scarcity,Short-term,Extremely serious,,265300,2016,"(52.133214, -106.670046)","(56.130366, -106.346771)"
50578,City of Windsor,Windsor,Canada,North America,Public,,2017,Increased water stress or scarcity,Long-term,Less serious,"Potential for decreasing water levels in the Great Lakes, which could stress the regional water transportation system (ie. freighter shipping, recreational boating)",217188,2016,"(42.314937, -83.036363)","(56.130366, -106.346771)"
59669,City of North Vancouver,North Vancouver,Canada,North America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,"The City’s water supply is supplied by the regional government, Metro Vancouver.  Reduced snowpack in winter could reduce storage in reservoirs, exacerbated by longer, hotter summers.",52898,2016,"(49.32, -123.0724)","(56.130366, -106.346771)"
50395,Prefeitura de São Luís,São Luís,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,"As ocupações desordenadas no entorno dos reservatórios superficiais de água para consumo humano têm aumentado nos últimos 10 anos à razão de 1,2km2 a cada dois anos. Ademais, as principais áreas de recarga de aquíferos foram transformadas há menos de 10 anos em zonas residenciais, abrigando importantes núcleos de construções habitacionais de moradias do Programa Minha Casa Minha Vida, ocasionando perdas de coberturas vegetais e de áreas de infiltração. Associado ao aumento da exploração dos recursos hídricos subterrâneos, há cenários indicando rebaixamento de até 5,0 metros do aquífero principal na região central do Município.",1050000,2010,"(-6.534403, -38.056967)","(-14.235004, -51.92528)"
43928,Canberra,Canberra,Australia,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Long-term,Serious,"The water resources and water consumption of the ACT region are highly influenced by climate variability.  The spatial and temporal variability of temperature, evaporation and rainfall largely determine the level of urban water supply security (i.e. reliability). Future climate scenarios are fundamental to the level of the ACT’s future water security. This was evident when South-eastern Australia experienced 7 years of severe drought between 2002 and 2009. The duration and impacts of this ""Millennium Drought"" were unprecedented in the ACT’s historical climatic record since Federation. For one year in 2006 stream flows reduced to 90% but averaged around 60%, and water storages fell to low levels (approximately  30% of capacity), and severe water restrictions (Stage 3) were imposed for almost 4.5 years across the period 2003 to 2010. Stage 4 restrictions which require no outside watering were nearly enacted however a storm in 2007 averted this stage. Additionally, the light soaking autumn rainfall has decreased significantly, with an almost 40% reduction observed over the period 1997 to 2010 as compared to the long term average. Over the same period, spring and summer rainfalls have increased however these are delivered as intense and localised storms. This change continued through the 2010/2011 wet years. Considering the lessons from the Millennium Drought and the changing seasonality of rainfall, there are expected to remain long-term water related risks as a result of increasing population growth combined with periods of reduced rainfall. If climate emerges drier than projected it will further compromise the ACT’s water supply security. The likelihood to this scenario happening is ‘Possible’ and would lead to ‘Major’ to ‘Severe’ consequences, such as the water supply system not able to meet the ACT’s unrestricted demand for water.",400000,2016,"(-35.3075, 149.1244)","(-25.274398, 133.775136)"
32480,City of Adelaide,Adelaide,Australia,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Current,Serious,More frequent and intense droughts expected which will reduce the reliability of water supplies; dry the land impacting structures and underground services; vegetation stress and the need for increased irrigation and maintenance.,23615,2016,"(-34.928499, 138.600746)","(-25.274398, 133.775136)"
50357,Ciudad de Mendoza,Mendoza,Argentina,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,,114822,2010,"(-32.889459, -68.845839)","(-38.416097, -63.616672)"
50374,Alcaldia Distrital de Cartagena de Indias,Cartagena,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,,971592,2010,"(10.421855, -75.550096)","(4.5709, -74.2973)"
35848,Municipality of Belo Horizonte,Belo Horizonte,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Serious,The current infrastructure is was not built for this more intense rainfall,2513451,2016,"(-19.916681, -43.934493)","(-14.235004, -51.92528)"
54687,Prefeitura Municipal de São José dos Campos,São José dos Campos,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,,629921,2010,"(-23.184768, -45.878284)","(-14.235004, -51.92528)"
35897,Municipality of Campinas,Campinas,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Serious,"The lack of adequate long-term planning so far has exposed the system to conditions of maintenance and operation short of ideal. Today, however, Campinas disposes of future scenarios and investment planning to modernize the infrastructure of supply.",1142620,2016,"(-22.744027, -46.937174)","(-14.235004, -51.92528)"
35872,Municipality of Recife,Recife,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Extremely serious,"One of the risks to the city of Recife is the rising sea level, which can invade the rivers and make the brackish drinking water supplies",1625583,2016,"(-8.057838, -34.882897)","(-14.235004, -51.92528)"
52638,Prefeitura de Aracaju,Aracaju,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Serious,"Devido ao aumento do nível do mar poderá haver incidência de salinização da águas dos rios locais, o que poderá ocasionar  problemas de escassez de água potável. Além disso problemas ambientais podem comprometer os rios e mananciais.",641523,2016,"(-10.947247, -37.073082)","(-14.235004, -51.92528)"
54633,Prefeitura de Lorena,Lorena,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Serious,Aumento dos riscos para saúde da população e problemas em áreas de risco onde ainda não foram tomadas medidas de contingência ou de proteção.,87584,2016,"(-22.733872, -45.120111)","(-14.235004, -51.92528)"
60394,Gobierno Autónomo Municipal de Tarija,Tarija,Bolivia,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Less serious,"el mantenimiento del sistema, y la potabilización del agua esta ligaco con el costo que será elevado  para obtener el suministro en cada vivienda de la ciudadania",2053757,2012,"(-21.266606, -63.488416)","(-16.290154, -63.588653)"
50391,Prefeitura de Manaus,Manaus,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"Apesar de haverem investimentos nas tecnologias para o melhor tratamento da água captada do Rio Negro, em muitas áreas da cidade, o sistema de tubulações de distribuição encontra-se em mau estado de conservação, o que torna-se vetor de transmissão de doenças e muitas vezes de impedimento de consumo ao recurso à muitas famílias, neste caso especialmente, nas periferias mais distantes.",2057711,2016,"(-3.119028, -60.021731)","(-14.235004, -51.92528)"
54650,Prefeitura de Palmas,Palmas,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Less serious,Necessidade de uma ETA sofisticada,279856,2016,"(-10.249091, -48.324286)","(-14.235004, -51.92528)"
51374,Prefeitura de Rio Branco,Rio Branco,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,,,,363928,2014,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
58795,Blantyre City Council,Blantyre ,Malawi,Africa,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,,920226,2016,"(-15.802859, 35.037784)","(-13.254308, 34.301525)"
54649,Prefeitura de Tatuí,Tatuí,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Extremely serious,Dificuldade de atrais novas empresas . foi readequado o plano diretor através proposição do departamento de meio ambiente visando limitar e proteger as regiões dentro do perímetro municipal  onde estão concentradas o maior número de nascentes .,112459,2014,"(-23.349219, -47.846576)","(-14.235004, -51.92528)"
54656,Prefeitura de Vinhedo,Vinhedo,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Serious,,71217,2014,"(-23.030673, -46.98376)","(-14.235004, -51.92528)"
50392,Prefeitura de Vitória,Vitória,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,Heavy rains paralyze the collection system and treatment of treated water.,359555,2016,"(-20.333764, -40.377582)","(-14.235004, -51.92528)"
54663,Prefeitura do Jaboatão dos Guararapes,Jaboatão dos Guararapes,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Less serious,,680943,2014,"(-8.172166, -34.998683)","(-14.235004, -51.92528)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,Some parts of the water supply system are old and inadequate and could be damaged from extreme weather events.,185937,2011,"(42.43042, 19.259364)","(42.708678, 19.37439)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Extremely serious,"Caieiras é um dos últimos municípios a receber água do sistema Alto Tietê e depende de bombeamento para isso, portanto em crise hídrica será um dos primeiros a sofrer com as consequências, o que já vem ocorrendo no último ano no Sistema Cantareira.
Perda de produção na industrial, onde se utiliza a água como parte de processo.
Desconfortos a população, problemas a saúde dos munícipes e segurança.",95780,2015,"(-23.36122, -46.740187)","(-14.235004, -51.92528)"
50794,Prefeitura Municipal de Caieiras,Caieiras,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Less serious,"Perdas de água e consequentemente, perdas financeiras devido a necessidade de manutenções ou troca de tubulações.",95780,2015,"(-23.36122, -46.740187)","(-14.235004, -51.92528)"
54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,"Falta de água para a população, comercio e Indústria. Ocasionando diminuição da atividade industrial e comercial e consequentemente menor arrecadação de impostos e desemprego.... em conjunto problemas sociais.",39617,2010,"(-23.166974, -47.746317)","(-14.235004, -51.92528)"
54697,Prefeitura Municipal de Cerquilho,Cerquilho,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Serious,"Com o acumulo de chuvas em poucos dias, riachos e rios causam destruição em pontes e passagens, levando a isolamento da população local, custos de obras, e falta d' água, pois a água da chuva não é absorvida pelo lençol freático.",39617,2010,"(-23.166974, -47.746317)","(-14.235004, -51.92528)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"As obras de drenagem no município priorizam o escoamento das áreas altas para as áreas de baixada, como estamos em uma zona costeira, com forte influência marítima, em dias de mar agitado as águas não escoam e chegam com velocidade nas áreas baixas, causando  alagamentos, gerando riscos de perdas de vida, bens pessoais e danos em áreas publicas.",497883,2016,"(-22.892857, -43.118381)","(-14.235004, -51.92528)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Extremely serious,"Sincelejo se abastece de la explotacion de Acuiferos y estos estan muy sobreexplotados, hay un ultimo estudio donde se explica que de seguir esta explotacion en 20 años aproximadamente, estaremos padeciendo por falta del liquido, lo que nos obliga a tomar medidas urgentes, por esta razon uno de los proyectos priorizados fue el del parque del agua que traería el agua de otra fuente ya sea del rio magdalena o del mar, viendo una solucion mas viable la del mar ya que el rio magdalena presentó niveles de caudal  demasiado bajos lo que indica que en algun momento esta fuente puede fallar, en cambio la toma del mar garantizaría una fuente mas segura y estable.",275207,2015,"(9.304577, -75.390557)","(4.570868, -74.297333)"
68378,Municipalidad de Santiago de Surco,Santiago de Surco,Peru,Latin America,Public,,2017,Increased water stress or scarcity,,,,506879,2016,"(-12.145272, -77.005104)","(-9.19, -75.0152)"
60387,Alcaldíade Sincelejo,Sincelejo,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"a medida que se agudiza el problema de sobreexplotacion, se tiene que hacer pozos cada vez mas profundos para la explotacion, lo que implica que la explotacion es mas costosa y al hacer la explotacion mas costosa para el operador se aumenta el metro cubico al consumidor, ya eso está ocurriendo en la ciudad de sincelejo",275207,2015,"(9.304577, -75.390557)","(4.570868, -74.297333)"
60577,Frederikshavn Kommune,Frederikshavn,Denmark,Europe,Public,,2017,Increased water stress or scarcity,Long-term,Extremely serious,"Drilling for water supplies usually have their filter phrase 30 to 50 meters below ground level, some even deeper. A pollution will therefore not normally be pumped up immediately when it first must remnants of a piece into the ground.",60379,2015,"(57.442711, 10.521006)","(56.26392, 9.501785)"
60602,"Town of Ajax, ON","Ajax, ON",Canada,North America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,Increased algae growth within Lake Ontario,109600,2011,"(43.850855, -79.020373)","(56.130366, -106.346771)"
60603,"City of Prince George, BC","Prince George, BC",Canada,North America,Public,,2017,Increased water stress or scarcity,Medium-term,Extremely serious,Well is highly susceptible to contamination due to any large spill within the groundwater protection area ie. train derailment or fuel truck crash,74003,2016,"(53.917064, -122.749669)","(56.130366, -106.346771)"
59167,Municipalidad de Providencia,Providencia,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Current,Serious,We are experiencing a drought period and if we have storms over the Andes the processing plant can’t clean the water fast enough cutting the water supply for most of metropolitan region.,147533,2015,"(-33.431297, -70.609189)","(-35.675147, -71.542969)"
45219,Município de Aparecida,Aparecida,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Less serious,loss of water in the pipes.,36248,2016,"(-20.7, -41.666667)","(-14.235004, -51.92528)"
36045,Santiago de Guayaquil,Santiago de Guayaquil,Ecuador,Latin America,Public,,2017,Increased water stress or scarcity,Current,Serious,,2644891,2017,"(-2.170998, -79.922359)","(-1.831239, -78.183406)"
62814,Municipalidad de Pica,Pica,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Serious,,6620,2010,"(-20.4895, -69.3305)","(-35.675147, -71.542969)"
62814,Municipalidad de Pica,Pica,Chile,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Serious,,6620,2010,"(-20.4895, -69.3305)","(-35.675147, -71.542969)"
58569,City of Podgorica,Podgorica,Montenegro,Europe,Public,,2017,Increased water stress or scarcity,Medium-term,Less serious,The increase the price of water it is possible due to the increasing cost of maintenance and new investment.,185937,2011,"(42.43042, 19.259364)","(42.708678, 19.37439)"
36286,Comune di Ferrara,Ferrara,Italy,Europe,Public,,2017,Increased water stress or scarcity,Short-term,Serious,Water comes from River Po which is experiencing prolonged drought,133155,2015,"(44.8357395, 11.6189949)","(41.87194, 12.56738)"
50380,Municipio de Bucaramanga,Bucaramanga,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Serious,"The RISK 6. DOES NOT PROVIDE WATER IN QUANTITY AND QUALITY: SUSPENSION OF TREATMENT BY CHEMICAL AND / OR BIOLOGICAL CONTAMINATION OF THE SURATÁ SYSTEM. The irrigation management manual for the Bucaramanga metropolitan aqueduct contemplates.
 
The main controls of the Suratá treatment plant are:
 
  Microbiological, conductivity and physicochemical analysis.
  Adjustment of the dosage of chemical inputs according to the event presented.
  Pretreatment of raw water.
  Emergency operational plan.
  Contingency plans and communication protocol.
 
The controls implemented by the area of operations are documented and have been effective, so our recommendation is to continue with these controls and to test the contingency plans and communication protocols.",528269,2016,"(7.110349, -73.122742)","(4.5709, -74.2973)"
60284,Prefeitura de Angra dos Reis,Angra dos Reis,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Short-term,Extremely serious,"Com a diminuição da vazão dos rios, aumentará a concentração de poluentes, tornando o tratamento de água para abastecimento mais complexo e caro.",191504,2016,"(-22.998285, -44.244207)","(-14.235004, -51.92528)"
60271,Prefeitura de Bertioga,Bertioga,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Extremely serious,"Lançamentos de esgoto sem o devido tratamento, seja no corpo hidrico ou no solo, devido o crescimento desordenado proveniente, principalmente, das ocupações irregulares e loteamentos que não possuem o devido tratamento.",57942,2016,"(-23.8081, -46.059941)","(-14.235004, -51.92528)"
54627,Prefeitura de Joinville,Joinville,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Long-term,Serious,Queda da qualidade da água devido a ocupação à montante do ponto de captação de água,562601,2015,"(-26.300964, -48.840707)","(-14.235004, -51.92528)"
57509,Prefeitura Niterói,Niterói,Brazil,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"O sistema de drenagem municipal é estrutural, com pouquíssimas ações não estruturais. A urbanização do território e consequente impermeabilização do solo, além do favorecimento da velocidade no escoamento das águas através da retificação e impermeabilização dos córregos e rios, impactou diretamente na recarga do sistema hídrico subterrâneo, ocasionando na extinção de algumas nascentes e olhos d'água assim como no nível dos corpos hídricos remanescentes.",497883,2016,"(-22.892857, -43.118381)","(-14.235004, -51.92528)"
54405,Vejle Kommune,Vejle,Denmark,Europe,Public,,2017,Increased water stress or scarcity,Medium-term,Less serious,The well field to Søndre Vandværk is situated in Vejle which is close to sea level. Parts of Vejle is threatened by flooding and has been flooded several times. But so far the well field has not been affected.,107567,2016,"(55.7113, 9.5364)","(56.26392, 9.501785)"
69973,Alcaldia de Barrancabermeja,Barrancabermeja,Colombia,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"El deterioro de la calidad del recurso hidrico, debido a las diversas actividades economicas y sociales en los alrededores a las cuencas hidricas.",191768,2015,"(7.060668, -73.872399)","(4.5709, -74.2973)"
54402,City of Lahti,Lahti,Finland,Europe,Public,,2017,Increased water stress or scarcity,Short-term,Serious,"More rainfall and more intence rain events create flooding and faster infiltration, and inpurities may end up in the ground water. In some locations also the risk of flooding sewege water contaminating drinking water has increased.",119452,2016,"(60.9833, 25.65)","(61.92411, 25.748151)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,During periods of heavy rainfall roads and bridges become flooded due to blocked and / or aging infrastructure.,618536,2011,"(-29.600607, 30.379412)","(-30.559482, 22.937506)"
37261,City of Pietermaritzburg,Pietermaritzburg,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"Currently Msunduzi Municipality is experiencing extreme drought conditions and with winter approaching, this decreases chances of rainfall (dry winters are experienced)",618536,2011,"(-29.600607, 30.379412)","(-30.559482, 22.937506)"
36484,Comune di Monza,Monza,Italy,Europe,Public,,2017,Increased water stress or scarcity,Long-term,Serious,"Due to climate change, nowadays we could face often to unpredictable natural events (for example: tropical storm, drought, flood…). The existing infrastructure could not be enough to avoid the dangerous events or to limit the possible damage effects.",122955,2016,"(45.831487, 9.0371)","(41.87194, 12.56738)"
60898,Ayuntamiento de Naucalpan de Juárez,Naucalpan de Juárez,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,Desabasto de agua a la ciudad.,844219,2015,"(19.463084, -99.245302)","(23.634501, -102.552784)"
63999,"City of Miami Beach, FL","Miami Beach, FL",USA,North America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,Salt water intrusion within our aquifer places a major risk on the primary and only source of fresh water for our region.,91732,2014,"_
(25.790654, -80.130045)","(37.09024, -95.712891)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Long-term,Serious,"Water security in the region is  high risk. Ensuring a stable supply with the changes in population, city development and climate change is increasing difficult. Changes in rain patterns and evaporation rate will hamper current planning scenarios.",3379104,2016,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
35864,Ekurhuleni Metropolitan Municipality,Ekurhuleni ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Current,Serious,"Infrastructure built in low lying areas i.e. sewer network and storm water system, follows the natural elevation of the land which integrates with the rivers and streams in the region.",3379104,2016,"(-26.1777, 28.3462)","(-30.559482, 22.937506)"
35868,Free and Hanseatic City of Hamburg,Hamburg,Germany,Europe,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,The city acquires water from other parts of the region.,1787408,2015,"(53.5510846, 9.9936818)","(51.165691, 10.451526)"
54478,Gemeente Nijmegen,Nijmegen,Netherlands,Europe,Public,,2017,Increased water stress or scarcity,Current,Serious,"Nijmegen had two water winning areas. The old one (hundred years old) is closed now, because it was situated right underneath the city centre. Due to a lot of soil and ground water conteminations it was too costly for purifying the ground water. Also the other water win ara has some threats, but they are minor.",173000,2017,"(51.844884, 5.842828)","(52.132633, 5.291266)"
50665,Município de Ovar,Ovar,Portugal,Europe,Public,,2017,Increased water stress or scarcity,Short-term,Serious,,55398,2011,"(40.89008, -8.59723)","(39.399872, -8.224454)"
44073,Municipalité de Rabat,Rabat,Morocco,Africa,Public,,2017,Increased water stress or scarcity,,,,1655753,2017,"(33.9716, -6.8498)","(31.7917, -7.0926)"
50672,Santarém,Santarém,Portugal,Europe,Public,,2017,Increased water stress or scarcity,,,,61752,2011,"(39.236669, -8.685994)","(39.399872, -8.224454)"
19233,Torres Vedras Municipality,Torres Vedras ,Portugal,Europe,Public,,2017,Increased water stress or scarcity,Long-term,Serious,health problems due to consumption of water,79465,2011,"(38.763669, -9.30148)","(39.399872, -8.224454)"
54559,Ugu District Municipality,Ugu ,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Long-term,Serious,Surface water is running dry and continuous water supply is continuously interrupted.,722484,2011,"(-30.621797, 30.251273)","(-30.559482, 22.937506)"
54575,Vhembe District Municipality,Vhembe,South Africa,Africa,Public,,2017,Increased water stress or scarcity,Current,Serious,Leakages,1294722,2011,"(-22.769551, 29.974053)","(-30.559482, 22.937506)"
60207,City of Windhoek,Windhoek,Namibia,Africa,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,The City is currently experiencing an acute water shortage as a result of the prevailing drought. Currently the major dams that supplies the city are all having less than 30% of their capacity.,322500,2011,"(-22.5609, 17.0658)","(-22.9576, 18.4904)"
54354,City Government of Makati,Makati,Philippines,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,"*Increase in temperature entails increase demand for domestic consumption.
*Continuous increase in temperature may cause shortage on water supply in the City",529039,2010,"(14.554729, 121.024445)","(12.879721, 121.774017)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,Public,,2017,Increased water stress or scarcity,Long-term,Serious,Need more treatment of underground water- Permanent,4270750,2015,"(33.520593, -7.56806)","(31.7917, -7.0926)"
43937,Wellington City Council,Wellington,New Zealand,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Medium-term,Extremely serious,"Wellington City suffers from a dual risk when it comes to water scarcity. Recent summer droughts have brought water supplies to as low as 7 days of remaining supply, with the risk of worse droughts magnifying this. Additionally, water provides the vast majority of New Zealand's renewable power. If droughts affect the water supply to our hydro lakes and limit our energy capacity, whilst fossil energy becomes even more expensive, this will drastically limit our ability to be sustainable.",209102,2017,"(26.661763, -80.268357)","(-40.900557, 174.885971)"
59996,Batangas City,Batangas,Philippines,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Short-term,Serious,"Increased precipitation disrupts/damages water supply infrastructure
Increased temperatures will lead to increased demand for water thereby posing additional stress on the supply system",354170,2016,"(13.7565, 121.0583)","(12.879721, 121.774017)"
50356,Ayuntamiento de Morelia,Morelia,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,los mantos freáticos cada vez están mas bajos y las zonas de recarga son muy vulnerables al desarrollo urbano y la agricultura,729279,2010,"(32.502581, -117.069292)","(23.634501, -102.552784)"
43975,Municipalidad de Magdalena del Mar,Magdalena del Mar,Peru,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,"Magdalena as part of the city of Lima, is located in a desert, and presents a water stress that makes it very vulnerable.",54656,2015,"(-12.091653, -77.06705)","(-9.19, -75.0152)"
50381,Municipio de Torreón,Torreón,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,due to old infrastructure there are leaks and this increases water scarcity,639629,2010,"(25.542844, -103.406786)","(23.634501, -102.552784)"
63616,Abasan Al-Kabira Municipality,Abasan Al-Kabira,State of Palestine,South and West Asia,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,,30000,2015,"(31.323126, 34.344025)","(31.9522, 35.2332)"
60621,Lilongwe City Council,Lilongwe,Malawi,Africa,Public,,2017,Increased water stress or scarcity,Current,Serious,Lilongwe City still  experiences water shortages due to low levels of water at the source a condition emanating from drought  that hit Malawi in 2015/16 growing season. The other reason is that the water utility provider had not yet broadened its reticulation network in the city. A greater % of Lilongwe City citizens especially those residing in the City’s Informal areas can not easily access portable water.,1100000,2017,"(-13.9626, 33.7741)","(-13.254308, 34.301525)"
58528,Pristina Municipality,Pristina ,Kosovo,Europe,Public,,2017,Increased water stress or scarcity,Medium-term,Less serious,"The only risk that can be anticipated is if we do not have enough rain days due to the increased temperatures. This will cause a shortage on our lakes, from which we get the water supply.",201804,2011,"(42.6629, 21.1655)","(42.6026, -20.903)"
60142,City of Kisumu,Kisumu,Kenya,Africa,Public,,2017,Increased water stress or scarcity,Short-term,Extremely serious,dilapidated water supply system,409928,2010,"(-0.091702, 34.767957)","(-0.023559, 37.906193)"
60142,City of Kisumu,Kisumu,Kenya,Africa,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,Storm water polluting ground and surface water sources,409928,2010,"(-0.091702, 34.767957)","(-0.023559, 37.906193)"
57505,Alcaldía de Panamá,Panamá,Panama,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Less serious,The growth of population of the City of Panamá will demand more water treatment. Under certain scenarios of climate change the water supplies can reduce.,1427862,2014,"(9.118624, -79.555236)","(8.537981, -80.782127)"
50366,Ayuntamiento de Cuernavaca,Cuernavaca,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Current,Extremely serious,Por la falta de operatividad y mantenimiento de las tuberias el agua se puede contaminar. Va contra la Ley.,366321,2010,"(18.927487, -99.242026)","(23.634501, -102.552784)"
50366,Ayuntamiento de Cuernavaca,Cuernavaca,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,,Extremely serious,"NO se cuenta con recurso económico derivado de desfalcs y las estructuras no se reparan, o se mantienen. El pago por uso de bombeo se eleva su costo",366321,2010,"(18.927487, -99.242026)","(23.634501, -102.552784)"
50369,Ayuntamiento de San Luis Potosí,San Luis Potosí,Mexico,Latin America,Public,,2017,Increased water stress or scarcity,Medium-term,Serious,"As you increase the population of the capital, increase water demand . And if industry increases without a policy of "" discharge zero "" mandatory , the problem will be aggravated .",824229,2015,"(22.173333, -100.97005)","(23.634501, -102.552784)"
61427,Municipality of Nacala,Nacala,Mozambique,Africa,Public,,2017,Increased water stress or scarcity,Long-term,Serious,#NAME?,250000,2015,"(-14.565606, 40.685431)","(-18.665695, 35.529562)"
54345,City Government of Davao,Davao,Philippines,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Medium-term,Extremely serious,,1632991,2015,"(7.074755, 125.624539)","(12.879721, 121.774017)"
60029,City of Cagayan de Oro,Cagayan de Oro,Philippines,South Asia and Oceania,Public,,2017,Increased water stress or scarcity,Current,Serious,The decreasing water resource is also a major threat brought by clim  ate Change due to global warming trend. The increasing population which increased the demand for fresh water has forced the city government to tap the surface waters of Cagayan de Oro River. Unfortunately the streamflow of the primary river has also been decreasing for decades due to accelerated forest denudation.,724859,2017,"(8.454236, 124.631898)","(12.879721, 121.774017)"
35903,Le Grand Casablanca,Casablanca,Morocco,Africa,Public,,2017,Increased water stress or scarcity,Long-term,Serious,"Less water for livestock  and humans
Less frequently but important in rural regions",4270750,2015,"(33.520593, -7.56806)","(31.7917, -7.0926)"
